Time,Q1,Q2,Q3,Q4,Q5,Q6,Qdot1,Qdot2,Qdot3,Qdot4,Qdot5,Qdot6,x,y,z,xdot,ydot,zdot,FT1,FT2,FT3,FT4,FT5,FT6,handle_pos1,handle_pos2,mag11, mag12, mag21,mag22,f1,f2, dxl_pos1, dxl_pos2
23:03:19:450065,-0.523599,-0.174498,1.65789,0,1.29151,1.8327,0.000610811,-0.000264264,-0.000921424,-1.12451e-05,0.00065716,0.000613815,0.311454,-0.179818,0.230844,0.000232313,0.000116531,0.000177557,0.0799999,0.68,-0.46,0.017,-0.0189999,0.0059998,0,0,0,0,0,0,0,0,0,0
23:03:19:454943,-0.523599,-0.174498,1.65789,0,1.29151,1.8327,0.00112547,-0.000812676,-0.0023197,-2.07202e-05,0.00150702,0.00113101,0.311454,-0.179818,0.230844,0.000545524,0.000146899,0.000394623,0.0799999,0.68,-0.46,0.017,-0.0189999,0.0059998,0,0,0,0,0,0,0,0,0,0
23:03:19:460058,-0.523599,-0.174498,1.65789,0,1.29151,1.8327,0.00158867,-0.00130625,-0.00357814,-2.92477e-05,0.0022719,0.00159648,0.311454,-0.179818,0.230844,0.000827414,0.00017423,0.000589982,-0.130001,0.610001,-0.73,0.023,-0.017,0.0059998,0,0,0,0,0,0,0,0,0,0
23:03:19:465091,-0.523599,-0.174498,1.65789,0,1.29153,1.8327,0.00170042,-0.00170487,-0.00511522,-3.13053e-05,0.00341035,0.00170879,0.311454,-0.179818,0.230844,0.00104403,9.50274e-05,0.000901176,-0.130001,0.610001,-0.73,0.023,-0.017,0.0059998,0,0,0,0,0,0,0,0,0,0
23:03:19:470214,-0.523599,-0.174498,1.65789,0,1.29153,1.8327,0.00180101,-0.00206365,-0.0064986,-3.31243e-05,0.00443495,0.00180986,0.31145,-0.179816,0.230844,0.00123899,2.37418e-05,0.00118125,-0.0600014,0.73,-0.37,0.028,-0.005,0.0059998,0,0,0,0,0,0,0,0,0,0
23:03:19:475215,-0.523599,-0.174498,1.65789,0,1.29154,1.8327,0.00206122,-0.00262388,-0.00742114,-3.79102e-05,0.00479725,0.00207135,0.31145,-0.179816,0.230844,0.00147721,-7.01001e-06,0.00125395,-0.0600014,0.73,-0.37,0.028,-0.005,0.0059998,0,0,0,0,0,0,0,0,0,0
23:03:19:480335,-0.523599,-0.174498,1.65789,0,1.29158,1.8327,0.00229542,-0.0031281,-0.00825141,-4.21741e-05,0.00512331,0.00230669,0.311447,-0.179814,0.230844,0.00169161,-3.46884e-05,0.00131937,-0.18,1.06,-0.32,0.03,-0.0189999,0.0079999,0,0,0,0,0,0,0,0,0,0
23:03:19:485337,-0.523599,-0.174498,1.65789,0,1.29161,1.8327,0.00259207,-0.00407835,-0.00952297,-4.75306e-05,0.00544461,0.00260477,0.311439,-0.17981,0.230844,0.00204993,-0.000119826,0.00135629,-0.18,1.06,-0.32,0.03,-0.0189999,0.0079999,0,0,0,0,0,0,0,0,0,0
23:03:19:490448,-0.523599,-0.174498,1.65787,0,1.29165,1.8327,0.00285907,-0.00493361,-0.0106674,-5.23229e-05,0.00573374,0.00287304,0.311432,-0.179805,0.230844,0.00237243,-0.000196452,0.00138951,0.199999,0.880001,-0.41,0.022,-0.005,0.00399995,0,0,0,0,0,0,0,0,0,0
23:03:19:495458,-0.523599,-0.174498,1.65785,0,1.29168,1.8327,0.00343577,-0.00519113,-0.0112218,-6.28138e-05,0.00603064,0.00345255,0.31143,-0.179804,0.230849,0.00257203,-7.50269e-05,0.00146134,0.199999,0.880001,-0.41,0.022,-0.005,0.00399995,0,0,0,0,0,0,0,0,0,0
23:03:19:500568,-0.523599,-0.174498,1.65782,0,1.2917,1.8327,0.0039548,-0.00542292,-0.0117208,-7.22304e-05,0.00629784,0.00397409,0.311427,-0.179803,0.230854,0.00275168,3.42543e-05,0.00152599,-0.34,0.280003,-0.61,0.015,-0.00999999,0.00199986,0,0,0,0,0,0,0,0,0,0
23:03:19:505695,-0.523599,-0.174498,1.65778,0,1.29175,1.8327,0.00334195,-0.00520842,-0.0119914,-6.10981e-05,0.00678295,0.00335826,0.311433,-0.179806,0.230864,0.00261182,-0.00013649,0.00168197,-0.34,0.280003,-0.61,0.015,-0.00999999,0.00199986,0,0,0,0,0,0,0,0,0,0
23:03:19:510687,-0.523599,-0.174498,1.65773,0,1.29179,1.8327,0.00279038,-0.00501544,-0.012235,-5.09644e-05,0.00721954,0.00280399,0.311432,-0.179805,0.230875,0.00248596,-0.000290162,0.00182234,-0.540001,-0.00999832,-0.93,0.024,-0.00399995,0.0059998,0,0,0,0,0,0,0,0,0,0
23:03:19:515807,-0.523599,-0.174498,1.6577,0,1.29181,1.8327,0.00184631,-0.00450711,-0.012589,-3.37534e-05,0.00808186,0.00185532,0.311439,-0.17981,0.23089,0.00222524,-0.00052705,0.00210733,-0.540001,-0.00999832,-0.93,0.024,-0.00399995,0.0059998,0,0,0,0,0,0,0,0,0,0
23:03:19:520824,-0.523599,-0.174515,1.65763,0,1.29184,1.83272,0.00099668,-0.00404957,-0.0129075,-1.82399e-05,0.00885796,0.00100155,0.311445,-0.179813,0.2309,0.00199059,-0.000740244,0.00236383,-0.630001,0.23,-0.96,0.026,-0.00199997,0,0,0,0,0,0,0,0,0,0,0
23:03:19:525936,-0.523599,-0.174515,1.65757,0,1.29189,1.83272,0.00029113,-0.00397467,-0.0136591,-5.33287e-06,0.00968439,0.000292554,0.311458,-0.17982,0.230915,0.00189914,-0.000976988,0.0026119,-0.630001,0.23,-0.96,0.026,-0.00199997,0,0,0,0,0,0,0,0,0,0,0
23:03:19:530940,-0.523599,-0.174515,1.65752,0,1.29193,1.83272,-0.000343842,-0.00390738,-0.0143355,6.29879e-06,0.0104281,-0.00034552,0.311461,-0.179822,0.23093,0.00181683,-0.00119006,0.00283516,-0.84,0.470001,-0.94,0.044,-0.0029999,-0.0110002,0,0,0,0,0,0,0,0,0,0
23:03:19:535924,-0.523599,-0.174515,1.65747,0,1.29198,1.83272,-0.00100238,-0.00428607,-0.0154495,1.83785e-05,0.0111635,-0.00100728,0.311468,-0.179826,0.230946,0.00186286,-0.00148691,0.00302886,-0.84,0.470001,-0.94,0.044,-0.0029999,-0.0110002,0,0,0,0,0,0,0,0,0,0
23:03:19:541082,-0.523599,-0.174515,1.65742,0,1.29203,1.83272,-0.00159504,-0.00462699,-0.0164522,2.92433e-05,0.0118252,-0.00160284,0.311472,-0.179828,0.230961,0.0019043,-0.00175407,0.00320319,-0.6,0.950001,-1.06,0.045,-0.023,-0.0220001,0,0,0,0,0,0,0,0,0,0
23:03:19:546205,-0.523599,-0.174515,1.65736,0,1.29208,1.83272,-0.00149847,-0.0052943,-0.0180019,2.74719e-05,0.0127076,-0.0015058,0.311476,-0.17983,0.230977,0.00218067,-0.00187401,0.00342268,-0.6,0.950001,-1.06,0.045,-0.023,-0.0220001,0,0,0,0,0,0,0,0,0,0
23:03:19:551204,-0.523599,-0.174515,1.65733,0,1.29214,1.83272,-0.00141157,-0.00589502,-0.0193968,2.58791e-05,0.0135017,-0.00141848,0.311479,-0.179833,0.230992,0.0024294,-0.00198195,0.00362023,0.499999,0.43,-1.11,0.0319999,0.00800002,-0.0330002,0,0,0,0,0,0,0,0,0,0
23:03:19:556337,-0.523599,-0.174515,1.65726,0,1.29221,1.83272,-0.000358853,-0.00503691,-0.0190198,6.56759e-06,0.0139829,-0.000360604,0.311478,-0.179832,0.231002,0.00239302,-0.00152889,0.0038142,0.499999,0.43,-1.11,0.0319999,0.00800002,-0.0330002,0,0,0,0,0,0,0,0,0,0
23:03:19:561339,-0.523599,-0.174515,1.65719,0,1.29226,1.83272,0.000588564,-0.00426513,-0.018681,-1.078e-05,0.0144159,0.000591437,0.311483,-0.179835,0.231023,0.00236027,-0.00112114,0.00398877,0.629999,0.34,-0.95,0.026,-0.00599992,-0.0370002,0,0,0,0,0,0,0,0,0,0
23:03:19:566448,-0.523599,-0.174515,1.6571,0,1.29233,1.83272,0.00153632,-0.00343665,-0.0179389,-2.81677e-05,0.0145022,0.00154382,0.311491,-0.179839,0.231044,0.00228703,-0.000689858,0.00406464,0.629999,0.34,-0.95,0.026,-0.00599992,-0.0370002,0,0,0,0,0,0,0,0,0,0
23:03:19:571445,-0.523599,-0.174515,1.65702,0,1.29238,1.83272,0.00238925,-0.00269131,-0.0172712,-4.38469e-05,0.0145799,0.00240094,0.311501,-0.179845,0.231069,0.00222111,-0.000301704,0.00413292,0.23,1.05,-0.55,0.03,-0.017,-0.0210001,0,0,0,0,0,0,0,0,0,0
23:03:19:576563,-0.523599,-0.174515,1.65693,0,1.29243,1.83272,0.0031688,-0.00330169,-0.0175615,-5.82663e-05,0.0142598,0.00318432,0.311514,-0.179853,0.231095,0.00251975,-0.000154136,0.00400161,0.23,1.05,-0.55,0.03,-0.017,-0.0210001,0,0,0,0,0,0,0,0,0,0
23:03:19:581567,-0.523599,-0.174515,1.65684,0,1.29247,1.83272,0.00387037,-0.00385105,-0.0178229,-7.1304e-05,0.0139718,0.00388935,0.311527,-0.17986,0.231121,0.00278852,-2.13197e-05,0.00388344,0.379999,1.72,-0.24,0.029,-0.0239999,-0.016,0,0,0,0,0,0,0,0,0,0
23:03:19:586701,-0.523599,-0.174515,1.65677,0,1.29254,1.83272,0.00515557,-0.00516425,-0.0185351,-9.5262e-05,0.0133709,0.00518093,0.311544,-0.17987,0.231147,0.00336775,0.000171824,0.00362662,0.379999,1.72,-0.24,0.029,-0.0239999,-0.016,0,0,0,0,0,0,0,0,0,0
23:03:19:591697,-0.523599,-0.174515,1.65668,0,1.29259,1.83272,0.00631221,-0.00634598,-0.019176,-0.000116633,0.01283,0.00634326,0.311549,-0.179873,0.231168,0.00388907,0.000345653,0.00339549,0.419999,1.88,-0.29,0.029,-0.0029999,-0.00900006,0,0,0,0,0,0,0,0,0,0
23:03:19:596803,-0.523599,-0.174515,1.65661,0,1.29264,1.83274,0.00751437,-0.00755348,-0.0200148,-0.000139115,0.0124613,0.00755138,0.311562,-0.17988,0.231193,0.00443785,0.00052232,0.00321354,0.419999,1.88,-0.29,0.029,-0.0029999,-0.00900006,0,0,0,0,0,0,0,0,0,0
23:03:19:601803,-0.523599,-0.174515,1.65653,0,1.29268,1.83277,0.00859624,-0.00864013,-0.0207697,-0.000159297,0.0121296,0.00863861,0.31157,-0.179885,0.231214,0.00493176,0.000681304,0.0030498,-0.0500011,1.71,-0.35,0.02,-0.00399995,0.000999928,0,0,0,0,0,0,0,0,0,0
23:03:19:606920,-0.523599,-0.174515,1.65644,0,1.29271,1.83279,0.00887772,-0.00971561,-0.0216712,-0.000164994,0.0119556,0.0089216,0.311587,-0.179895,0.23124,0.00529077,0.000589648,0.00293325,-0.0500011,1.71,-0.35,0.02,-0.00399995,0.000999928,0,0,0,0,0,0,0,0,0,0
23:03:19:611958,-0.523599,-0.174515,1.65632,0,1.29277,1.83282,0.00913099,-0.0106836,-0.0224827,-0.000170199,0.0117992,0.00917624,0.311604,-0.179905,0.231266,0.00561387,0.000507147,0.00282839,-0.1,1.61,-0.54,0.00299996,-0.00699997,-0.00700021,0,0,0,0,0,0,0,0,0,0
23:03:19:617078,-0.523599,-0.174515,1.65616,0,1.2928,1.83286,0.00922757,-0.0113954,-0.0233413,-0.000172665,0.0119459,0.00927347,0.311626,-0.179918,0.231302,0.00585316,0.000408737,0.0028285,-0.1,1.61,-0.54,0.00299996,-0.00699997,-0.00700021,0,0,0,0,0,0,0,0,0,0
23:03:19:622228,-0.523581,-0.174533,1.65595,0,1.29285,1.83289,0.00931431,-0.0120365,-0.0241147,-0.000175471,0.0120782,0.00936093,0.311663,-0.179938,0.231349,0.00606849,0.000320157,0.00282869,0.339999,2.2,-0.57,0.00199997,-0.012,-0.0120001,0,0,0,0,0,0,0,0,0,0
23:03:19:627223,-0.523581,-0.174533,1.65574,0,1.29291,1.83293,0.0103424,-0.0130036,-0.0253416,-0.000196338,0.0123381,0.0103945,0.311713,-0.17996,0.231405,0.00655706,0.000460508,0.00284662,0.339999,2.2,-0.57,0.00199997,-0.012,-0.0120001,0,0,0,0,0,0,0,0,0,0
23:03:19:632198,-0.523581,-0.17455,1.65555,0,1.29294,1.83294,0.0112678,-0.0138742,-0.0264462,-0.000215742,0.012572,0.0113251,0.31176,-0.179987,0.231468,0.00699674,0.000586808,0.00286289,0.599999,2.15,-0.21,0.00599998,-0.00399995,-0.013,0,0,0,0,0,0,0,0,0,0
