Time,Q1,Q2,Q3,Q4,Q5,Q6,Qdot1,Qdot2,Qdot3,Qdot4,Qdot5,Qdot6,x,y,z,xdot,ydot,zdot,FT1,FT2,FT3,FT4,FT5,FT6,handle_pos1,handle_pos2,mag11, mag12, mag21,mag22,f1,f2, dxl_pos1, dxl_pos2
22:30:01:720429,-0.515343,-0.158441,1.66693,0,1.29931,1.84146,-0.00119395,0.00282658,0.00207047,2.1521e-05,0.000756106,-0.00119954,0.308486,-0.174725,0.23402,-0.0010058,8.89236e-05,0.000379099,0.17,-2,-0.79,0.022,0.000999928,0.026,0.0013,0.0007,0,0,0,0,0,0,0,0
22:30:01:725423,-0.515361,-0.158581,1.66703,0,1.29929,1.84146,-0.00235785,0.00556238,0.00416138,4.13913e-05,0.001401,-0.00236861,0.308417,-0.174686,0.233841,-0.0019863,0.000175539,0.000720704,0.690001,-1.9,-0.69,0.024,0.0129999,0.0250001,0.0013,0.0007,0,0,0,0,0,0,0,0
22:30:01:730553,-0.515361,-0.158755,1.6671,0,1.29929,1.84146,-0.00277649,0.00840625,0.00667041,4.80851e-05,0.00173584,-0.002789,0.308392,-0.174679,0.233761,-0.00289131,0.000519516,0.000976956,0.690001,-1.9,-0.69,0.024,0.0129999,0.0250001,0.0013,0.0007,0,0,0,0,0,0,0,0
22:30:01:735563,-0.515361,-0.158912,1.66714,0,1.29931,1.84146,-0.00318438,0.0111651,0.00916588,5.43427e-05,0.00199926,-0.00319852,0.308377,-0.17467,0.233678,-0.00377363,0.000854855,0.00120783,1.02,-2.44,-0.65,0.019,-0.00300002,0.0190001,0.0013,0.0007,0,0,0,0,0,0,0,0
22:30:01:740669,-0.515361,-0.159034,1.66719,0,1.29931,1.84146,-0.00355146,0.0147015,0.0127483,5.98343e-05,0.00195325,-0.00356704,0.308368,-0.174665,0.233612,-0.00490341,0.00134676,0.00139069,1.02,-2.44,-0.65,0.019,-0.00300002,0.0190001,0.0013,0.0007,0,0,0,0,0,0,0,0
22:30:01:745836,-0.515361,-0.159122,1.66724,0,1.29931,1.84146,-0.00390941,0.0181395,0.0162755,6.51603e-05,0.00186396,-0.00392638,0.308356,-0.174658,0.233553,-0.0060049,0.00182635,0.0015555,0.540001,-2.18,-0.99,-0.083,-0.057,0.036,0.0013,0.0007,0,0,0,0,0,0,0,0
22:30:01:750821,-0.515361,-0.159157,1.66733,0,1.29931,1.84146,-0.0046718,0.0209737,0.0185524,7.71857e-05,0.0024213,-0.00469191,0.308344,-0.174652,0.233506,-0.00695134,0.00205519,0.00187767,0.540001,-2.18,-0.99,-0.083,-0.057,0.036,0.0013,0.0007,0,0,0,0,0,0,0,0
22:30:01:755943,-0.515361,-0.159174,1.66742,0,1.29931,1.84146,-0.00541532,0.0237196,0.0208322,8.87866e-05,0.00288742,-0.00543844,0.308321,-0.174638,0.233468,-0.00787408,0.00227828,0.00216775,-0.289999,-2.24,-1.19,-0.104,-0.00900006,0.052,0.0013,0.0007,0,0,0,0,0,0,0,0
22:30:01:760939,-0.515361,-0.159174,1.66749,0,1.29931,1.84146,-0.00721288,0.0259653,0.022267,0.000117471,0.00369831,-0.00724349,0.308297,-0.174625,0.233435,-0.00880534,0.00208158,0.00253173,-0.289999,-2.24,-1.19,-0.104,-0.00900006,0.052,0.0013,0.0007,0,0,0,0,0,0,0,0
22:30:01:765961,-0.515378,-0.159174,1.66756,0,1.29931,1.84146,-0.00896561,0.028135,0.0237341,0.000145364,0.00440083,-0.0090035,0.308278,-0.174614,0.233415,-0.00971329,0.00188977,0.00285937,-0.189999,-4.06,-0.759999,0.041,0.0589999,0.0280001,0.0013,0.0007,0,0,0,0,0,0,0,0
