Time,Q1,Q2,Q3,Q4,Q5,Q6,Qdot1,Qdot2,Qdot3,Qdot4,Qdot5,Qdot6,x,y,z,xdot,ydot,zdot,FT1,FT2,FT3,FT4,FT5,FT6,handle_pos1,handle_pos2,mag11, mag12, mag21,mag22,f1,f2, dxl_pos1, dxl_pos2
22:35:23:248461,-0.0171042,-0.45979,1.30509,-0.00623083,1.36171,2.34218,0.0182432,-0.0476531,0.0613795,-0.00041342,-0.108919,0.0189892,0.457934,-0.00931659,0.220028,0.00869025,0.00814447,-0.0400314,2.04,-1.18,5.17,0.068,-0.134,-0.0319998,0.0058,0.0002,0.020462,0.00886195,0.0148782,0.0144782,-5.28479,-0.15586,951,952
22:35:23:253573,-0.0170344,-0.460016,1.30537,-0.00623083,1.36118,2.34225,0.0199734,-0.0446335,0.0612759,-0.000446406,-0.105785,0.020709,0.458101,-0.00929925,0.219859,0.00792352,0.00894548,-0.0386282,1.06,-0.779999,4.65,0.048,-0.123,-0.056,0.0058,0.0002,0.020462,0.00886195,0.0148782,0.0144782,-5.28479,-0.15586,951,952
22:35:23:258574,-0.0169646,-0.460261,1.3057,-0.00623083,1.3609,2.34235,0.0205925,-0.0421924,0.0598752,-0.000451573,-0.10194,0.0213058,0.458147,-0.00926789,0.219672,0.00737117,0.00923776,-0.0370992,1.06,-0.779999,4.65,0.048,-0.123,-0.056,0.0059,0.0002,0.020462,0.00886195,0.0148782,0.0144782,-5.28479,-0.15586,951,952
22:35:23:263707,-0.0168948,-0.460505,1.30603,-0.00623083,1.36057,2.34249,0.0211961,-0.0398802,0.0587902,-0.000450111,-0.0985389,0.0218885,0.458119,-0.00923533,0.219461,0.00683196,0.00952277,-0.0357231,-0.16,-1.56,3.01,0.182,-0.0419999,-0.0679998,0.0059,0.0002,0.020562,0.00876196,0.0148782,0.0144782,-5.40386,-0.15586,951,952
22:35:23:268691,-0.0168075,-0.460732,1.30633,-0.00623083,1.36,2.3426,0.0204414,-0.03607,0.0577075,-0.000427361,-0.0936508,0.0210996,0.458103,-0.00920297,0.21925,0.00590274,0.00919664,-0.0336663,-0.16,-1.56,3.01,0.182,-0.0419999,-0.0679998,0.0059,0.0002,0.020562,0.00876196,0.0148782,0.0144782,-5.40386,-0.15586,951,952
22:35:23:273691,-0.0167028,-0.460941,1.30661,-0.00623083,1.35924,2.3427,0.0197059,-0.0324362,0.0570449,-0.000412182,-0.0893589,0.0203349,0.458157,-0.0091637,0.219058,0.00499682,0.00887868,-0.0318152,-1.73,-1.76,1.79,0.281,-0.00199997,-0.0569999,0.0059,0.0002,0.020562,0.00876196,0.0148782,0.0144782,-5.40386,-0.15586,951,952
22:35:23:278812,-0.0165981,-0.461116,1.30689,-0.00623083,1.35856,2.34279,0.0172683,-0.0283313,0.0556682,-0.000373729,-0.0838924,0.0178563,0.458257,-0.00911715,0.21888,0.00400343,0.00778773,-0.0295361,-1.7,-0.610001,1.29,0.302,-0.04,-0.0509999,0.0059,0.0002,0.020562,0.00876196,0.0148782,0.0144782,-5.40386,-0.15586,951,952
22:35:23:283935,-0.0164934,-0.461273,1.30716,-0.00623083,1.35825,2.34288,0.0149476,-0.0259284,0.0516029,-0.0003338,-0.0774385,0.0154882,0.45834,-0.0090703,0.218718,0.00360632,0.00673954,-0.0272266,-1.7,-0.610001,1.29,0.302,-0.04,-0.0509999,0.0059,0.0002,0.020562,0.00876196,0.0148782,0.0144782,-5.40386,-0.15586,951,952
22:35:23:288931,-0.0163886,-0.461413,1.30746,-0.00623083,1.35809,2.34296,0.0126854,-0.0236796,0.0480752,-0.000289858,-0.0716759,0.0131819,0.458335,-0.0090221,0.218563,0.00321909,0.00571755,-0.025148,-1.4,-0.0499992,-0.4,0.336,-0.033,-0.033,0.0059,0.0002,0.020562,0.00876196,0.0148782,0.0144782,-5.40386,-0.15586,951,952
22:35:23:294053,-0.0162665,-0.461517,1.30779,-0.00623083,1.35785,2.34305,0.0108302,-0.021849,0.0417706,-0.000247612,-0.0635522,0.0112686,0.458286,-0.00897325,0.218409,0.00310935,0.00487594,-0.0224292,-1.4,-0.0499992,-0.4,0.336,-0.033,-0.033,0.0059,0.0002,0.020562,0.00876196,0.0148782,0.0144782,-5.40386,-0.15586,951,952
22:35:23:299050,-0.0161443,-0.461587,1.30805,-0.00623083,1.3575,2.34312,0.00902168,-0.0201771,0.0361337,-0.000209049,-0.0562546,0.00940769,0.458248,-0.00891654,0.218262,0.00300243,0.00405537,-0.0199822,-0.88,1.34,-1.69,0.208,-0.076,-0.027,0.0059,0.0003,0.020562,0.00876196,0.0148782,0.0144782,-5.40386,-0.15586,951,952
22:35:23:304170,-0.016057,-0.461657,1.30825,-0.00623083,1.3571,2.34317,0.00786064,-0.0202396,0.0264903,-0.00017926,-0.046681,0.00818218,0.458255,-0.00886054,0.218152,0.00358436,0.00351816,-0.0171267,-0.88,1.34,-1.69,0.208,-0.076,-0.027,0.0059,0.0003,0.020562,0.00876196,0.0149782,0.0143782,-5.40386,-0.233845,951,952
22:35:23:309169,-0.0159872,-0.461727,1.30837,-0.00623083,1.35675,2.34321,0.00672862,-0.0204173,0.0176246,-0.000151867,-0.0380002,0.00699162,0.458296,-0.00882106,0.218063,0.00415164,0.00299441,-0.0145567,-0.0199995,0.73,-2.41,0.174,-0.151,-0.027,0.0059,0.0004,0.020562,0.00876196,0.0150782,0.0142782,-5.40386,-0.311897,951,952
22:35:23:314298,-0.0159174,-0.461779,1.30844,-0.00623083,1.35649,2.34324,0.00656527,-0.0195731,0.00999196,-0.000139101,-0.0295244,0.00677399,0.458344,-0.00878972,0.217996,0.00439513,0.00291656,-0.0118907,-0.0199995,0.73,-2.41,0.174,-0.151,-0.027,0.0059,0.0005,0.020562,0.00876196,0.0151782,0.0141782,-5.40386,-0.390036,951,952
22:35:23:319289,-0.015865,-0.461832,1.30847,-0.00623083,1.35633,2.34328,0.00640597,-0.0188624,0.00304711,-0.000127283,-0.02187,0.0065656,0.458387,-0.00875832,0.217951,0.00463237,0.00284067,-0.00949136,-1.27,2.23,-3.73,0.082,-0.174,-0.0179999,0.0059,0.0005,0.020562,0.00876196,0.0151782,0.0141782,-5.40386,-0.390036,951,952
22:35:23:324444,-0.0158127,-0.461884,1.30847,-0.00623083,1.35621,2.3433,0.00490929,-0.020048,-0.00823914,-9.11543e-05,-0.0117787,0.00499994,0.458416,-0.00873471,0.217917,0.00560263,0.00214465,-0.00665688,-1.27,2.23,-3.73,0.082,-0.174,-0.0179999,0.0059,0.0006,0.020562,0.00876196,0.0152782,0.0140782,-5.40386,-0.468288,951,952
22:35:23:329569,-0.0157603,-0.461936,1.30847,-0.00624828,1.3561,2.34333,0.00344993,-0.0213266,-0.0187194,-5.65836e-05,-0.00258609,0.0034774,0.458446,-0.00871114,0.217894,0.00654852,0.00146608,-0.00410578,-1.96,1.73,-4.08,0.082,-0.21,-0.013,0.0059,0.0008,0.020562,0.00876196,0.0152782,0.0140782,-5.40386,-0.468288,951,952
22:35:23:334569,-0.0156905,-0.461989,1.30846,-0.00624828,1.35605,2.34337,0.0012633,-0.0218641,-0.0277992,-1.14049e-05,0.0059427,0.00122934,0.458472,-0.0086916,0.21787,0.00721751,0.000461028,-0.00163631,-1.96,1.73,-4.08,0.082,-0.21,-0.013,0.0059,0.0008,0.020562,0.00876196,0.0154782,0.0138782,-5.40386,-0.625206,951,952
22:35:23:339703,-0.0156382,-0.462041,1.30844,-0.00624828,1.35605,2.3434,-0.000868951,-0.022496,-0.0361968,3.20951e-05,0.0136952,-0.000959312,0.458491,-0.00865987,0.217852,0.00786978,-0.000518864,0.000586229,-1.67,0.0600014,-3.86,0.228,-0.177,-0.0209999,0.0059,0.0008,0.020562,0.00876196,0.0154782,0.0138782,-5.40386,-0.625206,951,952
22:35:23:344687,-0.0156032,-0.462111,1.30839,-0.00624828,1.35607,2.3434,-0.00265635,-0.0208601,-0.0399868,6.70016e-05,0.01911,-0.00278704,0.458498,-0.00863595,0.217833,0.0076728,-0.00132868,0.00246307,-1.67,0.0600014,-3.86,0.228,-0.177,-0.0209999,0.0059,0.0008,0.020562,0.00876196,0.0154782,0.0138782,-5.40386,-0.625206,951,952
22:35:23:349811,-0.0155858,-0.462181,1.30832,-0.00624828,1.3561,2.3434,-0.00439859,-0.019348,-0.0433374,0.000100325,0.023962,-0.00456584,0.458511,-0.00862015,0.217817,0.00748085,-0.00211826,0.00415223,-1.57,0.150002,-4.74,0.35,-0.11,-0.036,0.0059,0.0009,0.020562,0.00876196,0.0155782,0.0137782,-5.40386,-0.70392,951,952
22:35:23:354806,-0.0155858,-0.462268,1.30823,-0.00624828,1.35619,2.3434,-0.00597963,-0.0177993,-0.0475399,0.000132251,0.0297035,-0.00618858,0.458524,-0.00861237,0.217806,0.00733229,-0.00283538,0.00611278,-1.57,0.150002,-4.74,0.35,-0.11,-0.036,0.0059,0.001,0.020562,0.00876196,0.0155782,0.0137782,-5.40386,-0.70392,951,952
22:35:23:359932,-0.0155858,-0.462373,1.30812,-0.00624828,1.35631,2.3434,-0.00752065,-0.0163764,-0.0512782,0.00016223,0.0348551,-0.00776729,0.458531,-0.0086125,0.217792,0.00718765,-0.00353457,0.00787726,-1.57,1.21,-5.86,0.34,-0.113,-0.052,0.0059,0.001,0.020562,0.00876196,0.0156782,0.0136782,-5.40386,-0.782832,951,952
22:35:23:364927,-0.0155858,-0.462477,1.308,-0.00624828,1.35647,2.3434,-0.00899882,-0.0162469,-0.0582942,0.000193342,0.0419914,-0.00929551,0.458534,-0.00861259,0.217775,0.00756863,-0.00421351,0.010033,-1.57,1.21,-5.86,0.34,-0.113,-0.052,0.0059,0.0012,0.020562,0.00876196,0.0158782,0.0134782,-5.40386,-0.941344,951,952
22:35:23:370050,-0.0155858,-0.462547,1.30783,-0.00624828,1.35666,2.34338,-0.0104398,-0.0162176,-0.0647411,0.000222402,0.0484587,-0.010782,0.458534,-0.00861264,0.217763,0.0079405,-0.00487549,0.0119731,-2.34,0.509998,-6.19,0.394,-0.112,-0.0609999,0.0059,0.0012,0.020562,0.00876196,0.0158782,0.0134782,-5.40386,-0.941344,951,952
22:35:23:375064,-0.0155858,-0.462617,1.30764,-0.00624828,1.35692,2.34335,-0.0126992,-0.0151782,-0.0695426,0.000262986,0.0542856,-0.0130854,0.458542,-0.00861282,0.217783,0.0079504,-0.00590435,0.0138815,-2.34,0.509998,-6.19,0.394,-0.112,-0.0609999,0.0059,0.0012,0.020562,0.00876196,0.0158782,0.0134782,-5.40386,-0.941344,951,952
22:35:23:380161,-0.0156032,-0.462669,1.30746,-0.00624828,1.35729,2.34331,-0.0149017,-0.0142522,-0.0738776,0.000300693,0.059533,-0.0153277,0.458537,-0.00861284,0.217808,0.00796052,-0.00690748,0.015599,-2.3,-0.580002,-6.45,0.524,-0.0779999,-0.0779998,0.0059,0.0013,0.020562,0.00876196,0.0159782,0.0133782,-5.40386,-1.02099,951,952
22:35:23:385159,-0.0156032,-0.462722,1.30727,-0.00624828,1.35773,2.34326,-0.01702,-0.0117705,-0.0756774,0.000333314,0.0638014,-0.0174789,0.458502,-0.00862041,0.217836,0.00742443,-0.00786396,0.0172669,-2.3,-0.580002,-6.45,0.524,-0.0779999,-0.0779998,0.0059,0.0013,0.020562,0.00876196,0.0159782,0.0133782,-5.40386,-1.02099,951,952
