Time,Q1,Q2,Q3,Q4,Q5,Q6,Qdot1,Qdot2,Qdot3,Qdot4,Qdot5,Qdot6,x,y,z,xdot,ydot,zdot,FT1,FT2,FT3,FT4,FT5,FT6,handle_pos1,handle_pos2,mag11, mag12, mag21,mag22,f1,f2, dxl_pos1, dxl_pos2
22:34:15:664239,-0.522796,-0.174638,1.65736,0,1.29208,1.8331,0.00130837,0.00193959,0.00180229,-2.40353e-05,0.000137291,0.00131478,0.311692,-0.179586,0.231026,-0.000337703,0.00073136,0.000158408,1.79,-0.16,-0.16,0.00100005,-0.098,0.039,0.0072,0.0007,0.0315932,0.0171932,0.0250932,0.0236932,-1.38309,-0.106727,1549,1549
22:34:15:669130,-0.522796,-0.174638,1.65736,0,1.29208,1.8331,0.00324616,0.00323273,0.00317529,-5.91043e-05,5.74344e-05,0.00326192,0.311626,-0.179584,0.230948,-0.000385343,0.00155386,0.000213515,1.79,-0.16,-0.16,0.00100005,-0.098,0.039,0.0072,0.0007,0.0315932,0.0171932,0.0250769,0.0236769,-1.38309,-0.107019,1549,1548
22:34:15:674233,-0.522796,-0.17462,1.65736,0,1.29208,1.8331,0.00499024,0.00439643,0.00441084,-9.08596e-05,-1.44181e-05,0.00501447,0.311626,-0.179584,0.230948,-0.000428219,0.00229411,0.000263112,2.33,-0.349998,-0.35,0.048,-0.098,0.017,0.0072,0.0007,0.0315932,0.0171932,0.0250769,0.0236769,-1.38309,-0.107019,1549,1548
22:34:15:679234,-0.522796,-0.17462,1.65736,0,1.29208,1.8331,0.00708449,0.00611752,0.00602612,-0.000129118,9.14032e-05,0.00711893,0.311626,-0.179584,0.230954,-0.000563301,0.00323112,0.00039892,2.33,-0.349998,-0.35,0.048,-0.098,0.017,0.0072,0.0007,0.0315932,0.0171932,0.0250932,0.0236932,-1.38309,-0.106727,1549,1549
22:34:15:684353,-0.522796,-0.174603,1.65738,0,1.29208,1.8331,0.00896926,0.0076665,0.00747994,-0.000163469,0.000186561,0.00901286,0.311626,-0.179584,0.230954,-0.000684875,0.00407443,0.000521147,2.7,-0.379997,-0.46,0.067,-0.109,0.00300002,0.0072,0.0007,0.0315932,0.0171932,0.0250932,0.0236932,-1.38309,-0.106727,1549,1549
22:34:15:689355,-0.522796,-0.174568,1.65738,0,1.29208,1.8331,0.0110955,0.00939464,0.00901083,-0.000202221,0.000383813,0.0111494,0.311621,-0.179581,0.230956,-0.000810167,0.00501888,0.000684296,2.7,-0.379997,-0.46,0.067,-0.109,0.00300002,0.0072,0.0007,0.0315932,0.0171932,0.0250769,0.0236769,-1.38309,-0.107019,1549,1548
22:34:15:694468,-0.522778,-0.17455,1.6574,0,1.29208,1.83312,0.0130093,0.01095,0.0103884,-0.000237574,0.000561541,0.0130727,0.31162,-0.17958,0.230968,-0.000922936,0.00586889,0.000831101,1.9,0.310001,-0.26,0.063,-0.107,0.00200009,0.0072,0.0007,0.0315932,0.0171932,0.0250932,0.0236932,-1.38309,-0.106727,1549,1549
22:34:15:699605,-0.522778,-0.174533,1.65743,0,1.29208,1.83315,0.014242,0.0108956,0.0101839,-0.000260084,0.00071177,0.0143113,0.311618,-0.179572,0.230969,-0.000677856,0.00623316,0.000871996,1.9,0.310001,-0.26,0.063,-0.107,0.00200009,0.0072,0.0007,0.0315932,0.0171932,0.0250769,0.0236769,-1.38309,-0.107019,1549,1548
22:34:15:704604,-0.522761,-0.174515,1.65747,0,1.29208,1.83321,0.0153513,0.0108468,0.00999985,-0.000280066,0.000846988,0.015426,0.311608,-0.179566,0.230965,-0.000457248,0.006561,0.000908808,1.57,1.02,-0.23,0.04,-0.114,0.0150001,0.0072,0.0007,0.0316095,0.0172095,0.0250932,0.0236932,-1.37931,-0.106727,1550,1549
22:34:15:709628,-0.522761,-0.174481,1.6575,0,1.29208,1.83324,0.0164467,0.00971553,0.00855022,-0.000299748,0.0011653,0.0165267,0.311601,-0.179555,0.230961,9.65461e-05,0.00669102,0.000933782,1.57,1.02,-0.23,0.04,-0.114,0.0150001,0.0072,0.0007,0.0315932,0.0171932,0.0250769,0.0236769,-1.38309,-0.107019,1549,1548
22:34:15:714756,-0.522726,-0.174446,1.65756,0,1.29208,1.83329,0.0174327,0.00869749,0.00724559,-0.00031772,0.0014519,0.0175175,0.31159,-0.179549,0.230963,0.000594989,0.00680803,0.000956258,1.87,1.01,-0.12,0.033,-0.114,0.039,0.0072,0.0007,0.0316095,0.0172095,0.0250932,0.0236932,-1.37931,-0.106727,1550,1549
22:34:15:719748,-0.522709,-0.174428,1.65759,0,1.29208,1.83335,0.0186792,0.00795569,0.00647318,-0.000340098,0.0014825,0.0187699,0.311581,-0.179529,0.23096,0.00103942,0.00706284,0.000920108,1.87,1.01,-0.12,0.033,-0.114,0.039,0.0072,0.0007,0.0315932,0.0171932,0.0250769,0.0236769,-1.38309,-0.107019,1549,1548
22:34:15:724868,-0.522674,-0.174376,1.65763,0,1.29208,1.83342,0.0198007,0.00728815,0.00577828,-0.000360158,0.00150987,0.0198967,0.311574,-0.179518,0.230956,0.00143944,0.00729214,0.000887575,1.97,0.82,-0.0799999,0.045,-0.107,0.0410001,0.0072,0.0007,0.0316095,0.0172095,0.0250932,0.0236932,-1.37931,-0.106727,1550,1549
