Time,Q1,Q2,Q3,Q4,Q5,Q6,Qdot1,Qdot2,Qdot3,Qdot4,Qdot5,Qdot6,x,y,z,xdot,ydot,zdot,FT1,FT2,FT3,FT4,FT5,FT6,handle_pos1,handle_pos2,mag11, mag12, mag21,mag22,f1,f2, dxl_pos1, dxl_pos2
23:01:04:970435,-0.523145,-0.174638,1.65794,1.74533e-05,1.29151,1.83277,0.000518922,-0.0014699,0.000377888,-9.44984e-06,-0.0018478,0.000521417,0.311541,-0.179661,0.230778,0.000404678,-2.04651e-05,-0.000633772,-0.0300007,0.790001,1.28,0.032,0.005,0.0550001,0,0,0,0,0,0,0,0,0,0
23:01:04:975486,-0.523145,-0.174638,1.65794,1.74533e-05,1.29151,1.83277,0.00101719,-0.00285272,0.000645798,-1.85061e-05,-0.00349853,0.00102208,0.311526,-0.179667,0.230779,0.000793159,-4.00995e-05,-0.00120417,-0.0300007,0.790001,1.28,0.032,0.005,0.0550001,0,0,0,0,0,0,0,0,0,0
23:01:04:980442,-0.523145,-0.174638,1.65796,1.74533e-05,1.29151,1.83277,0.000983201,-0.00396675,0.00125304,-1.78785e-05,-0.0052198,0.000987891,0.311526,-0.179667,0.230779,0.00100205,-0.000174524,-0.00177902,-0.26,0.459999,1.4,0.04,-0.0170001,0.0580001,0,0,0,0,0,0,0,0,0,0
23:01:04:985589,-0.523145,-0.174638,1.65796,1.74533e-05,1.29151,1.83277,0.000950575,-0.0050107,0.00174975,-1.72597e-05,-0.00676047,0.000955074,0.311521,-0.179664,0.230773,0.00120258,-0.000303565,-0.0022964,-0.26,0.459999,1.4,0.04,-0.0170001,0.0580001,0,0,0,0,0,0,0,0,0,0
23:01:04:990589,-0.523145,-0.174638,1.65796,1.74533e-05,1.29151,1.83277,0.000729505,-0.00637636,0.00116277,-1.32342e-05,-0.00753914,0.000732916,0.311521,-0.179664,0.230773,0.00151783,-0.000576089,-0.00260885,-0.56,0.709999,1.1,0.035,-0.0220001,0.059,0,0,0,0,0,0,0,0,0,0
23:01:04:995718,-0.523145,-0.174638,1.65798,1.74533e-05,1.29151,1.83277,0.000517278,-0.00767347,0.000552424,-9.3699e-06,-0.0082259,0.000519644,0.311521,-0.179664,0.230773,0.00182047,-0.000837711,-0.00289006,-0.56,0.709999,1.1,0.035,-0.0220001,0.059,0,0,0,0,0,0,0,0,0,0
23:01:05:728,-0.523145,-0.174638,1.65798,1.74533e-05,1.29151,1.83277,8.29496e-05,-0.00881408,-9.89384e-05,-1.463e-06,-0.00871514,8.31917e-05,0.311516,-0.179661,0.230768,0.00205041,-0.00114853,-0.00310354,-0.68,0.59,1.02,0.029,-0.0270001,0.059,0,0,0,0,0,0,0,0,0,0
23:01:05:5830,-0.523145,-0.174638,1.65798,1.74533e-05,1.29149,1.83277,-0.00033401,-0.00989943,-0.000756148,6.11702e-06,-0.00914328,-0.000335801,0.311516,-0.179661,0.230768,0.00227115,-0.00144692,-0.00329568,-0.68,0.59,1.02,0.029,-0.0270001,0.059,0,0,0,0,0,0,0,0,0,0
23:01:05:10969,-0.523145,-0.174638,1.65798,1.74533e-05,1.29146,1.83277,-0.000744227,-0.0103608,-0.000253074,1.35884e-05,-0.0101078,-0.000748031,0.31152,-0.179663,0.230768,0.00227012,-0.00161464,-0.00360788,-0.440001,0.16,1.29,0.026,-0.0190001,0.0510001,0,0,0,0,0,0,0,0,0,0
23:01:05:15966,-0.523145,-0.174638,1.65799,1.74533e-05,1.29144,1.83277,-0.00113803,-0.0107899,0.000182972,2.08014e-05,-0.0109729,-0.00114378,0.311527,-0.179667,0.230768,0.00226915,-0.00177565,-0.00388886,-0.440001,0.16,1.29,0.026,-0.0190001,0.0510001,0,0,0,0,0,0,0,0,0,0
