Time,Q1,Q2,Q3,Q4,Q5,Q6,Qdot1,Qdot2,Qdot3,Qdot4,Qdot5,Qdot6,x,y,z,xdot,ydot,zdot,FT1,FT2,FT3,FT4,FT5,FT6,handle_pos1,handle_pos2,mag11, mag12, mag21,mag22,f1,f2, dxl_pos1, dxl_pos2
22:30:53:976153,-0.290824,-6.98132e-05,1.73376,-0.00221657,1.38616,2.06183,0.00169311,-0.00342554,-0.00220771,-3.77166e-05,-0.00121412,0.00170229,0.293159,-0.0882915,0.265552,0.00123696,0.000161695,-0.000366595,1.29,1.33,0.96,-0.018,-0.012,-0.076,0.0011,0.0003,0.0157457,0.0135457,0.0149294,0.0143294,-0.866697,-0.235773,950,949
22:30:53:981131,-0.290824,-6.98132e-05,1.73376,-0.00221657,1.38616,2.06183,0.00421278,-0.00461687,-0.00195277,-9.36945e-05,-0.00265488,0.00423479,0.293159,-0.0882915,0.265552,0.00178528,0.000789189,-0.000801888,1.29,1.33,0.96,-0.018,-0.012,-0.076,0.0011,0.0003,0.0157457,0.0135457,0.0149294,0.0143294,-0.866697,-0.235773,950,949
22:30:53:986263,-0.290824,-6.98132e-05,1.73376,-0.00221657,1.38614,2.06184,0.00648049,-0.00568907,-0.00172333,-0.000144075,-0.00395156,0.00651405,0.293159,-0.0882915,0.265552,0.00227877,0.00135393,-0.00119365,0.900001,0.470001,0.639999,-0.0100001,0.00699997,-0.073,0.0011,0.0003,0.0157457,0.0135457,0.0149294,0.0143294,-0.866697,-0.235773,950,949
22:30:53:991261,-0.290824,-6.98132e-05,1.73381,-0.00221657,1.38611,2.06198,0.00748758,-0.0055588,-0.000929799,-0.000166616,-0.00461261,0.00752649,0.293163,-0.0882927,0.265552,0.00229055,0.00166681,-0.00139326,0.900001,0.470001,0.639999,-0.0100001,0.00699997,-0.073,0.0011,0.0003,0.0157457,0.0135457,0.0149294,0.0143294,-0.866697,-0.235773,950,949
22:30:53:996375,-0.290824,-6.98132e-05,1.73388,-0.00221657,1.38611,2.06212,0.00839399,-0.00544199,-0.000216002,-0.000186656,-0.00520761,0.00843768,0.293157,-0.0882907,0.265536,0.00230121,0.00194836,-0.00157291,-0.32,1.34,0.69,-0.00400001,-0.00600004,-0.0579998,0.0011,0.0003,0.0157457,0.0135457,0.0149294,0.0143294,-0.866697,-0.235773,950,949
22:30:54:1422,-0.290824,-6.98132e-05,1.73397,-0.00221657,1.38611,2.06214,0.00768956,-0.00703871,-0.00123823,-0.000170864,-0.00578364,0.00773177,0.293137,-0.0882849,0.265515,0.00274842,0.00159317,-0.00174582,-0.32,1.34,0.69,-0.00400001,-0.00600004,-0.0579998,0.0011,0.0003,0.0157457,0.0135457,0.0149294,0.0143294,-0.866697,-0.235773,950,949
22:30:54:6548,-0.290824,-6.98132e-05,1.73404,-0.00219911,1.38611,2.06214,0.00705554,-0.00847589,-0.00215815,-0.000156561,-0.0063023,0.00709642,0.293113,-0.0882777,0.265488,0.00315088,0.00127349,-0.0019015,-0.24,1.26,0.73,-0.00100005,0.011,-0.0479999,0.0011,0.0003,0.0157457,0.0135457,0.0149294,0.0143294,-0.866697,-0.235773,950,949
22:30:54:11531,-0.290824,-6.98132e-05,1.73409,-0.00219911,1.38611,2.06214,0.00657339,-0.009638,-0.00278437,-0.000145775,-0.00683935,0.00661346,0.293095,-0.088268,0.265467,0.00347334,0.00102548,-0.00206278,-0.24,1.26,0.73,-0.00100005,0.011,-0.0479999,0.0011,0.0003,0.0157457,0.0135457,0.0149294,0.0143294,-0.866697,-0.235773,950,949
22:30:54:16659,-0.290824,-6.98132e-05,1.73412,-0.00219911,1.38611,2.06214,0.00613943,-0.0106838,-0.0033478,-0.000136207,-0.0073227,0.00617889,0.29308,-0.0882636,0.265451,0.00376353,0.000802274,-0.00220796,0.54,0.189999,0.67,0.029,-0.00600004,-0.079,0.0011,0.0003,0.0157457,0.0135457,0.0149294,0.0143294,-0.866697,-0.235773,950,949
22:30:54:21651,-0.290824,-6.98132e-05,1.73414,-0.00219911,1.38611,2.06216,0.00647324,-0.00982986,-0.00211331,-0.000143377,-0.00770249,0.00651476,0.293071,-0.0882607,0.26544,0.00348783,0.000989648,-0.00232244,0.54,0.189999,0.67,0.029,-0.00600004,-0.079,0.0011,0.0003,0.0157294,0.0135294,0.0149294,0.0143294,-0.869071,-0.235773,949,949
