Time,Q1,Q2,Q3,Q4,Q5,Q6,Qdot1,Qdot2,Qdot3,Qdot4,Qdot5,Qdot6,x,y,z,xdot,ydot,zdot,FT1,FT2,FT3,FT4,FT5,FT6,handle_pos1,handle_pos2,mag11, mag12, mag21,mag22,f1,f2, dxl_pos1, dxl_pos2
22:31:47:212412,-0.380098,-0.236405,1.53224,-0.000959931,1.35944,1.96461,0.000768309,-0.00139864,-0.00198813,-1.04931e-05,0.000590216,0.000769886,0.356756,-0.142776,0.245336,0.000583372,8.217e-05,6.16369e-05,0.15,1.17,-0.11,0.013,0,0.0339999,0.0101,0.0075,0.0344932,0.0142932,0.0318932,0.0168932,-2.38904,-1.46826,1549,1549
22:31:47:217412,-0.380098,-0.236405,1.53224,-0.000959931,1.35944,1.96461,0.00151741,-0.00276491,-0.00391442,-2.07269e-05,0.00115093,0.00152054,0.356756,-0.142776,0.245336,0.00115216,0.000162286,0.00011711,0.44,2.03,-0.15,0.005,0.000999928,0.0289998,0.0101,0.0075,0.0345095,0.0143095,0.0318932,0.0168932,-2.38251,-1.46826,1550,1549
22:31:47:222529,-0.380098,-0.236405,1.53224,-0.000959931,1.3594,1.96461,0.00303047,-0.00504379,-0.0070663,-4.14508e-05,0.00202536,0.00303699,0.356756,-0.142776,0.245336,0.00213473,0.000390541,0.000191375,0.44,2.03,-0.15,0.005,0.000999928,0.0289998,0.0101,0.0075,0.0345095,0.0143095,0.0318769,0.0168769,-2.38251,-1.47228,1550,1548
22:31:47:227537,-0.380098,-0.236405,1.53231,-0.000977384,1.35931,1.96461,0.00450571,-0.00726881,-0.0101248,-6.18223e-05,0.00286025,0.00451559,0.356764,-0.142779,0.245336,0.00309274,0.000613091,0.000258243,1.04,1.69,0,0,0.005,0.0349998,0.0101,0.0075,0.0344932,0.0142932,0.0318769,0.0168769,-2.38904,-1.47228,1549,1548
22:31:47:232769,-0.380098,-0.236527,1.53243,-0.000977384,1.3593,1.96461,0.00650128,-0.00872644,-0.0119195,-8.95023e-05,0.00319934,0.00651641,0.356762,-0.142783,0.245315,0.00385425,0.00112762,0.000239549,1.04,1.69,0,0,0.005,0.0349998,0.0101,0.0075,0.0344932,0.0142932,0.0318769,0.0168769,-2.38904,-1.47228,1549,1548
22:31:47:237647,-0.380098,-0.236771,1.53254,-0.000977384,1.3593,1.96461,0.00844633,-0.0101464,-0.0136736,-0.000114449,0.0035353,0.00846623,0.356736,-0.142773,0.245231,0.00459672,0.00162929,0.000222593,1.01,1.07,0.0100002,-0.000999987,0.00199997,0.0249999,0.0101,0.0075,0.0345095,0.0143095,0.0318932,0.0168932,-2.38251,-1.46826,1550,1549
22:31:47:242765,-0.380098,-0.237051,1.53261,-0.000977384,1.3593,1.96465,0.00999452,-0.0107478,-0.014363,-0.000131977,0.00362478,0.0100179,0.356716,-0.142765,0.245106,0.0050109,0.00209975,0.000198609,1.01,1.07,0.0100002,-0.000999987,0.00199997,0.0249999,0.0101,0.0075,0.0344932,0.0142932,0.0318769,0.0168769,-2.38904,-1.47228,1549,1548
22:31:47:247899,-0.380098,-0.237295,1.53261,-0.000977384,1.3593,1.96466,0.0115031,-0.0113332,-0.0150405,-0.000147885,0.00371828,0.0115297,0.356707,-0.142761,0.244977,0.00541475,0.00255844,0.000176919,1.45,0.77,0,0.03,0.00699997,0.016,0.0101,0.0075,0.0345095,0.0143095,0.0318932,0.0168932,-2.38251,-1.46826,1550,1549
22:31:47:252883,-0.38008,-0.237487,1.53261,-0.000977384,1.35931,1.96472,0.0133566,-0.0112782,-0.0149151,-0.000168516,0.00364972,0.0133875,0.356716,-0.142765,0.244883,0.00565592,0.00322391,0.000159426,1.45,0.77,0,0.03,0.00699997,0.016,0.0101,0.0075,0.0344932,0.0142932,0.0318932,0.0168932,-2.38904,-1.46826,1549,1549
22:31:47:258004,-0.380063,-0.237661,1.53261,-0.000977384,1.35931,1.96475,0.0151635,-0.0112242,-0.0147962,-0.000188181,0.00358648,0.0151985,0.356722,-0.14276,0.24481,0.00589109,0.00387272,0.000143666,1.77,1.44,-0.429999,-0.058,-0.0630001,0.023,0.0101,0.0075,0.0345095,0.0143095,0.0318932,0.0168932,-2.38251,-1.46826,1550,1549
