Time_us,Q1,Q2,Q3,Q4,Q5,Q6,Qdot_a1,Qdot_a2,Qdot_a3,Qdot_a4,Qdot_a5,Qdot_a6,Qdot1,Qdot2,Qdot3,Qdot4,Qdot5,Qdot6,X,Y,Z,Rx,Ry,Rz,FT1,FT2,FT3,FT4,FT5,FT6,F_cmd1,F_cmd2,F_cmd3,F_cmd4,F_cmd5,F_cmd6,v_meas1,v_meas2,v_meas3,v_meas4,v_meas5,v_meas6,vel1,vel2,vel3,vel4,vel5,vel6,rf1,rf2,rf3,F_exp1,F_exp2,F_exp3,beta,Ci11,Ci12,Ci13,Ci21,Ci22,Ci23,Ci31,Ci32,Ci33,Mi_inv11,Mi_inv12,Mi_inv13,Mi_inv21,Mi_inv22,Mi_inv23,Mi_inv31,Mi_inv32,Mi_inv33
1781299702906444,0.00781908,-0.353918,1.81998,-1.74533e-05,0.968012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372407,0.00290849,0.120313,-3.13376,-0.000314258,-3.14158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299702911386,0.00781908,-0.353918,1.81998,-1.74533e-05,0.968012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372407,0.00290849,0.120313,-3.13376,-0.000314258,-3.14158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299702916543,0.00781908,-0.353918,1.81998,-1.74533e-05,0.968012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372407,0.00290849,0.120313,-3.13376,-0.000314258,-3.14158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299702921493,0.00781908,-0.353918,1.81998,-1.74533e-05,0.968012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372407,0.00290849,0.120313,-3.13376,-0.000314258,-3.14158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299702926672,0.00781908,-0.353918,1.81998,-1.74533e-05,0.968012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372407,0.00290849,0.120313,-3.13376,-0.000314258,-3.14158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299702931627,0.00781908,-0.353918,1.81998,-1.74533e-05,0.968012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372407,0.00290849,0.120313,-3.13376,-0.000314258,-3.14158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299702936791,0.00781908,-0.353918,1.81998,-1.74533e-05,0.968012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372407,0.00290849,0.120313,-3.13376,-0.000314258,-3.14158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299702941919,0.00781908,-0.353918,1.81998,-1.74533e-05,0.968012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372407,0.00290849,0.120313,-3.13376,-0.000314258,-3.14158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299702946965,0.00781908,-0.353918,1.81998,-1.74533e-05,0.968012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372407,0.00290849,0.120313,-3.13376,-0.000314258,-3.14158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299702952064,0.00781908,-0.353918,1.81996,-1.74533e-05,0.968012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372414,0.00290855,0.120317,-3.13376,-0.000296712,-3.14158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
