Time_us,Q1,Q2,Q3,Q4,Q5,Q6,Qdot_a1,Qdot_a2,Qdot_a3,Qdot_a4,Qdot_a5,Qdot_a6,Qdot1,Qdot2,Qdot3,Qdot4,Qdot5,Qdot6,X,Y,Z,Rx,Ry,Rz,FT1,FT2,FT3,FT4,FT5,FT6,F_cmd1,F_cmd2,F_cmd3,F_cmd4,F_cmd5,F_cmd6,v_meas1,v_meas2,v_meas3,v_meas4,v_meas5,v_meas6,v_lpf1,v_lpf2,v_lpf3,v_lpf4,v_lpf5,v_lpf6,vel1,vel2,vel3,vel4,vel5,vel6,bd_desired,bd_applied,beta_hat,K_hat,curvature_hat,target_curvature,gamma1,gamma2,intended_acc_x,intended_acc_y,intended_force_x,intended_force_y,intended_dir_x,intended_dir_y,B11,B12,B21,B22,indirect_ready
1781299487956730,0.00776672,-0.353656,1.81994,0,0.968012,3.49066e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.372444,0.00289272,0.120419,-3.13386,-1.75498e-05,-3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000342078,2.65688e-06,0.000474978,1.48213e-05,-0.00190827,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0740882,0.000575433,1,0,150,0,0,150,0
1781299487961883,0.00776672,-0.353656,1.81994,0,0.968012,3.49066e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.372444,0.00289272,0.120419,-3.13386,-1.75498e-05,-3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000273663,2.1255e-06,0.000379982,1.18571e-05,-0.00152662,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0694628,0.000539508,1,0,150,0,0,150,0
1781299487966941,0.00776672,-0.353656,1.81992,0,0.968012,3.49066e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.372451,0.00289278,0.120423,-3.13386,-1.08033e-07,-3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00021893,1.7004e-06,0.000303986,9.48564e-06,-0.00122129,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0643355,0.000499686,1,0,150,0,0,150,0
1781299487971908,0.00776672,-0.353656,1.81992,0,0.968012,3.49066e-05,0,0,-0.00164061,0,0,0,0,0,0,0,0,0,0.372451,0.00289278,0.120423,-3.13386,-1.08033e-07,-3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0.000283679,2.2033e-06,0.000412198,1.2742e-05,-0.00164056,0,0.00023188,1.80098e-06,0.000325628,1.01369e-05,-0.00130515,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.060198,0.00046755,1,0,150,0,0,150,0
1781299487977003,0.00776672,-0.353656,1.81992,0,0.968012,3.49066e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.372451,0.00289278,0.120423,-3.13386,-1.08033e-07,-3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000185504,1.44078e-06,0.000260503,8.10953e-06,-0.00104412,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0556659,0.00043235,1,0,150,0,0,150,0
1781299487982129,0.00776672,-0.353656,1.81992,0,0.968012,3.49066e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.372451,0.00289278,0.120423,-3.13386,-1.08033e-07,-3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000148403,1.15263e-06,0.000208402,6.48763e-06,-0.000835295,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0509891,0.000396026,1,0,150,0,0,150,0
1781299487987080,0.00776672,-0.353656,1.81992,0,0.968012,3.49066e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.372451,0.00289278,0.120423,-3.13386,-1.08033e-07,-3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000118723,9.22102e-07,0.000166722,5.1901e-06,-0.000668236,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0463438,0.000359946,1,0,150,0,0,150,0
1781299487992257,0.00776672,-0.353656,1.81991,0,0.968012,3.49066e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.372458,0.00289284,0.120428,-3.13386,1.7412e-05,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4978e-05,7.37682e-07,0.000133377,4.15208e-06,-0.000534589,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0418502,0.000325045,1,0,150,0,0,150,0
1781299487997257,0.00776672,-0.353656,1.81991,0,0.968012,3.49066e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.372458,0.00289284,0.120428,-3.13386,1.7412e-05,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.59824e-05,5.90146e-07,0.000106702,3.32167e-06,-0.000427671,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0375868,0.000291932,1,0,150,0,0,150,0
1781299488002485,0.00776672,-0.353656,1.81991,0,0.968012,3.49066e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.372458,0.00289284,0.120428,-3.13386,1.7412e-05,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.07859e-05,4.72116e-07,8.53615e-05,2.65733e-06,-0.000342137,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0336012,0.000260976,1,0,150,0,0,150,0
1781299488007384,0.00776672,-0.353656,1.81991,0,0.968012,3.49066e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.372458,0.00289284,0.120428,-3.13386,1.7412e-05,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.86287e-05,3.77693e-07,6.82892e-05,2.12587e-06,-0.000273709,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0299182,0.000232371,1,0,150,0,0,150,0
1781299488012513,0.00776672,-0.353656,1.81991,0,0.968012,3.49066e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.372458,0.00289284,0.120428,-3.13386,1.7412e-05,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8903e-05,3.02155e-07,5.46314e-05,1.70069e-06,-0.000218968,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0265466,0.000206184,1,0,150,0,0,150,0
1781299488017559,0.00776672,-0.353656,1.81991,0,0.968012,3.49066e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.372458,0.00289284,0.120428,-3.13386,1.7412e-05,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.11224e-05,2.41724e-07,4.37051e-05,1.36055e-06,-0.000175174,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0234837,0.000182395,1,0,150,0,0,150,0
1781299488022593,0.00776672,-0.353656,1.81991,0,0.968012,3.49066e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.372458,0.00289284,0.120428,-3.13386,1.7412e-05,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.48979e-05,1.93379e-07,3.49641e-05,1.08844e-06,-0.000140139,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0207188,0.00016092,1,0,150,0,0,150,0
1781299488027591,0.00776672,-0.353656,1.81989,0,0.968012,3.49066e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.372465,0.00289289,0.120432,-3.13386,3.47905e-05,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99183e-05,1.54703e-07,2.79713e-05,8.70755e-07,-0.000112111,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0182365,0.00014164,1,0,150,0,0,150,0
1781299488032768,0.00776672,-0.353656,1.81989,0,0.968012,3.49066e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.372465,0.00289289,0.120432,-3.13386,3.47905e-05,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59347e-05,1.23763e-07,2.2377e-05,6.96604e-07,-8.96891e-05,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.016018,0.00012441,1,0,150,0,0,150,0
1781299488037787,0.00776672,-0.353674,1.81989,0,0.968012,3.49066e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.372464,0.00289288,0.120426,-3.13386,1.73338e-05,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27477e-05,9.901e-08,1.79016e-05,5.57283e-07,-7.17513e-05,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0140432,0.000109071,1,0,150,0,0,150,0
1781299488042907,0.00776672,-0.353674,1.81989,0,0.968012,3.49066e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.372464,0.00289288,0.120426,-3.13386,1.73338e-05,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01982e-05,7.9208e-08,1.43213e-05,4.45826e-07,-5.7401e-05,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0122913,9.54649e-05,1,0,150,0,0,150,0
1781299488048020,0.00776672,-0.353674,1.81987,0,0.968012,3.49066e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.372471,0.00289294,0.12043,-3.13386,3.47421e-05,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.15855e-06,6.33664e-08,1.1457e-05,3.56661e-07,-4.59208e-05,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0107418,8.34305e-05,1,0,150,0,0,150,0
