Time_us,Q1,Q2,Q3,Q4,Q5,Q6,Qdot_a1,Qdot_a2,Qdot_a3,Qdot_a4,Qdot_a5,Qdot_a6,Qdot1,Qdot2,Qdot3,Qdot4,Qdot5,Qdot6,X,Y,Z,Rx,Ry,Rz,FT1,FT2,FT3,FT4,FT5,FT6,F_cmd1,F_cmd2,F_cmd3,F_cmd4,F_cmd5,F_cmd6,v_meas1,v_meas2,v_meas3,v_meas4,v_meas5,v_meas6,v_lpf1,v_lpf2,v_lpf3,v_lpf4,v_lpf5,v_lpf6,vel1,vel2,vel3,vel4,vel5,vel6,bd_desired,bd_applied,beta_hat,K_hat,curvature_hat,target_curvature,gamma1,gamma2,intended_acc_x,intended_acc_y,intended_force_x,intended_force_y,intended_dir_x,intended_dir_y,B11,B12,B21,B22,indirect_ready
1781299753804832,0.00774926,-0.35404,1.81966,3.49066e-05,0.968012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372527,0.00289377,0.120346,-3.13386,-0.000122298,3.14156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.24116e-05,4.0616e-07,-0.000125693,-2.61438e-06,0.000337364,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0128192,9.93413e-05,1,0,150,0,0,150,0
1781299753809856,0.00774926,-0.35404,1.81966,3.49066e-05,0.968012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372527,0.00289377,0.120346,-3.13386,-0.000122298,3.14156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.19293e-05,3.24928e-07,-0.000100555,-2.0915e-06,0.000269891,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.011905,9.2257e-05,1,0,150,0,0,150,0
1781299753815014,0.00774926,-0.35404,1.81966,3.49066e-05,0.968012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372527,0.00289377,0.120346,-3.13386,-0.000122298,3.14156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35434e-05,2.59942e-07,-8.04436e-05,-1.6732e-06,0.000215913,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0109427,8.47998e-05,1,0,150,0,0,150,0
1781299753820146,0.00774926,-0.354057,1.81966,3.49066e-05,0.968012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372525,0.00289375,0.12034,-3.13386,-0.000139728,3.14156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68348e-05,2.07954e-07,-6.43549e-05,-1.33856e-06,0.00017273,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.00997428,7.72949e-05,1,0,150,0,0,150,0
1781299753825141,0.00774926,-0.354057,1.81966,3.49066e-05,0.968012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372525,0.00289375,0.12034,-3.13386,-0.000139728,3.14156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14678e-05,1.66363e-07,-5.14839e-05,-1.07085e-06,0.000138184,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.00902871,6.99672e-05,1,0,150,0,0,150,0
1781299753830146,0.00774926,-0.354057,1.81966,3.49066e-05,0.968012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372525,0.00289375,0.12034,-3.13386,-0.000139728,3.14156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.71742e-05,1.3309e-07,-4.11871e-05,-8.56679e-07,0.000110548,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.00812535,6.29667e-05,1,0,150,0,0,150,0
1781299753835232,0.00774926,-0.354057,1.81965,3.49066e-05,0.968012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372532,0.00289381,0.120344,-3.13386,-0.000122234,3.14156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37394e-05,1.06472e-07,-3.29497e-05,-6.85343e-07,8.8438e-05,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.00727633,5.63873e-05,1,0,150,0,0,150,0
1781299753840268,0.00774926,-0.354057,1.81965,3.49066e-05,0.968012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372532,0.00289381,0.120344,-3.13386,-0.000122234,3.14156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09915e-05,8.51779e-08,-2.63598e-05,-5.48274e-07,7.07504e-05,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.00648846,5.02818e-05,1,0,150,0,0,150,0
1781299753845394,0.00774926,-0.354057,1.81965,3.49066e-05,0.968012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372532,0.00289381,0.120344,-3.13386,-0.000122234,3.14156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.79321e-06,6.81423e-08,-2.10878e-05,-4.3862e-07,5.66003e-05,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.00576473,4.46733e-05,1,0,150,0,0,150,0
1781299753850367,0.00774926,-0.354075,1.81965,3.49066e-05,0.968012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372531,0.0028938,0.120337,-3.13386,-0.000139687,3.14156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.03457e-06,5.45138e-08,-1.68703e-05,-3.50896e-07,4.52803e-05,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0051054,3.95639e-05,1,0,150,0,0,150,0
