Time_us,Q1,Q2,Q3,Q4,Q5,Q6,Qdot_a1,Qdot_a2,Qdot_a3,Qdot_a4,Qdot_a5,Qdot_a6,Qdot1,Qdot2,Qdot3,Qdot4,Qdot5,Qdot6,FT1,FT2,FT3,FT4,FT5,FT6,F_cmd1,F_cmd2,F_cmd3,F_cmd4,F_cmd5,F_cmd6,F_cmd_xy,v_meas1,v_meas2,v_meas3,v_meas4,v_meas5,v_meas6,v_meas_lpf1,v_meas_lpf2,v_meas_lpf3,v_meas_lpf4,v_meas_lpf5,v_meas_lpf6,vel1,vel2,vel3,vel4,vel5,vel6,c_des1,c_des2,Cd1,Cd2,Cd3,Cd4,Cd5,Cd6
1781013494627393,0.00778417,-0.354075,1.81972,-1.74533e-05,0.968029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781013494632515,0.00778417,-0.354075,1.81972,-1.74533e-05,0.968029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781013494637516,0.00778417,-0.354075,1.81972,-1.74533e-05,0.968029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781013494642640,0.00778417,-0.354075,1.81972,-1.74533e-05,0.968029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781013494647550,0.00778417,-0.354075,1.81972,-1.74533e-05,0.968029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781013494652760,0.00778417,-0.354075,1.81972,-1.74533e-05,0.968029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781013494657687,0.00778417,-0.354075,1.81972,-1.74533e-05,0.968029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781013494662890,0.00778417,-0.354075,1.81972,-1.74533e-05,0.968029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781013494667891,0.00778417,-0.354075,1.81972,-1.74533e-05,0.968029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781013494673015,0.00778417,-0.354075,1.81972,-1.74533e-05,0.968029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781013494678018,0.00778417,-0.354092,1.81972,-1.74533e-05,0.968029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781013494683136,0.00778417,-0.354092,1.81972,-1.74533e-05,0.968029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781013494688137,0.00778417,-0.354092,1.81972,-1.74533e-05,0.968029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781013494693261,0.00778417,-0.354092,1.81972,-1.74533e-05,0.968029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781013494698215,0.00778417,-0.354092,1.81972,-1.74533e-05,0.968029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781013494703299,0.00778417,-0.354092,1.81972,-1.74533e-05,0.968029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781013494708296,0.00778417,-0.354092,1.81972,-1.74533e-05,0.968029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781013494713513,0.00778417,-0.354092,1.81972,-1.74533e-05,0.968029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781013494718636,0.00778417,-0.354092,1.81972,-1.74533e-05,0.968029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781013494723546,0.00778417,-0.354092,1.81972,-1.74533e-05,0.968029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781013494728759,0.00778417,-0.354092,1.81972,-1.74533e-05,0.968029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781013494733762,0.00778417,-0.354092,1.81972,-1.74533e-05,0.968029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781013494738884,0.00778417,-0.354092,1.81972,-1.74533e-05,0.968029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781013494743795,0.00778417,-0.354092,1.81972,-1.74533e-05,0.968029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781013494749007,0.00778417,-0.354092,1.81972,-1.74533e-05,0.968029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781013494753997,0.00778417,-0.354092,1.81972,-1.74533e-05,0.968029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781013494759045,0.00778417,-0.354092,1.81972,-1.74533e-05,0.968029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781013494764259,0.00778417,-0.354092,1.81972,-1.74533e-05,0.968029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781013494769183,0.00778417,-0.354092,1.81972,-1.74533e-05,0.968029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781013494774383,0.00778417,-0.354092,1.81972,-1.74533e-05,0.968029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781013494779381,0.00778417,-0.354092,1.81972,-1.74533e-05,0.968029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781013494784374,0.00778417,-0.354092,1.81972,-1.74533e-05,0.968029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781013494789491,0.00778417,-0.354092,1.81972,-1.74533e-05,0.968029,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.015,0.031,0.036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781013494794630,0.00778417,-0.354092,1.81972,-1.74533e-05,0.968029,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01,-0.048,0.137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781013494799604,0.00778417,-0.354092,1.81972,-1.74533e-05,0.968029,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062,0.002,-0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781013494804761,0.00778417,-0.354092,1.81972,-1.74533e-05,0.968029,0,0,0,0,0,0,0,1.47531e-05,1.48282e-10,1.55165e-10,1.74469e-07,1.62406e-10,1.44462e-05,0.03,0.106,-0.242,0,0,0.001,-0.000413081,0.0529984,-7.61879e-07,0,0,0,0.053,0,0,0,0,0,0,0,0,0,0,0,0,-2.58176e-07,3.3124e-05,0,0,0,0,100,100,100,100,100,100,100,100
1781013494809756,0.00778417,-0.354092,1.81972,-1.74533e-05,0.968029,0,0,0,0,0,0,0,5.0686e-05,5.09481e-10,5.33087e-10,5.9941e-07,5.57947e-10,4.96314e-05,-0.021,0.127,-0.333,0,0.002,0.002,-0.000701459,0.0899973,-1.29376e-06,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,-6.80452e-07,8.7302e-05,0,0,0,0,100,100,100,100,100,100,100,100
1781013494814857,0.00778417,-0.354092,1.81973,-1.74533e-05,0.968029,0,0,0,0,0,0,0,4.05488e-05,4.07585e-10,4.26469e-10,4.79528e-07,4.46358e-10,3.97052e-05,-0.012,-0.033,0.186,0,0,-0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781013494819787,0.00778417,-0.354092,1.81973,-1.74533e-05,0.968029,0,0,0,0,0,0,0,3.2439e-05,3.26068e-10,3.41176e-10,3.83622e-07,3.57086e-10,3.17641e-05,-0.007,-0.051,0.333,0,0,-0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781013494825003,0.00778417,-0.354092,1.81973,-1.74533e-05,0.968029,0,0,0,0,0,0,0,2.59512e-05,2.60854e-10,2.7294e-10,3.06898e-07,2.85669e-10,2.54113e-05,-0.084,0.071,-0.19,0,0.001,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781013494830114,0.00778417,-0.354092,1.81973,-1.74533e-05,0.968029,0,0,0,0,0,0,0,2.0761e-05,2.08683e-10,2.18352e-10,2.45518e-07,2.28535e-10,2.0329e-05,-0.013,0.049,-0.33,0,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781013494835129,0.00778417,-0.354092,1.81973,-1.74533e-05,0.968029,0,0,0,0,0,0,0,1.66088e-05,1.66947e-10,1.74682e-10,1.96415e-07,1.82828e-10,1.62632e-05,0.076,0.008,-0.191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781013494840229,0.00778417,-0.354092,1.81973,-1.74533e-05,0.968029,0,0,0,0,0,0,0,1.3287e-05,1.33557e-10,1.39745e-10,1.57132e-07,1.46262e-10,1.30106e-05,0.016,0.011,-0.067,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781013494845252,0.00778417,-0.354092,1.81973,-1.74533e-05,0.968029,0,0,0,0,0,0,0,1.06296e-05,1.06846e-10,1.11796e-10,1.25705e-07,1.1701e-10,1.04085e-05,-0.03,0.033,-0.074,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781013494850209,0.00778417,-0.354092,1.81973,-1.74533e-05,0.968047,0,0,0,0,0,0,0,8.5037e-06,8.54767e-11,8.94371e-11,1.00564e-07,9.3608e-11,8.32678e-06,0.042,0.074,-0.448,0.001,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781013494855353,0.00778417,-0.354092,1.81973,-1.74533e-05,0.968047,0,0,0,0,0,0,0,6.80296e-06,6.83814e-11,7.15497e-11,8.04514e-08,7.48864e-11,6.66142e-06,0.05,0.078,-0.527,0.001,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781013494860288,0.00778417,-0.354092,1.81973,-1.74533e-05,0.968047,0,0,0,0,0,0,0,5.44237e-06,5.47051e-11,5.72398e-11,6.43611e-08,5.99091e-11,5.32914e-06,-0.039,0.026,0.163,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781013494865500,0.00778417,-0.354092,1.81973,-1.74533e-05,0.968047,0,0,0,0,0,0,0,4.3539e-06,4.37641e-11,4.57918e-11,5.14889e-08,4.79273e-11,4.26331e-06,-0.06,-0.02,0.282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781013494870605,0.00778417,-0.354092,1.81973,-1.74533e-05,0.968047,0,0,0,0,0,0,0,3.48312e-06,3.50113e-11,3.66334e-11,4.11911e-08,3.83418e-11,3.41065e-06,0.006,-0.064,-0.083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781013494875561,0.00778417,-0.354092,1.81973,-1.74533e-05,0.968047,0,0,0,0,0,0,0,2.78649e-06,2.8009e-11,2.93068e-11,3.29529e-08,3.06735e-11,2.72852e-06,0.048,-0.06,0.174,0,0,-0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781013494880751,0.00778417,-0.354092,1.81973,-1.74533e-05,0.968047,0,0,0,0,0,0,0,2.22919e-06,2.24072e-11,2.34454e-11,2.63623e-08,2.45388e-11,2.18281e-06,0.051,0.051,0.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781013494885751,0.00778417,-0.354092,1.81973,-1.74533e-05,0.968047,0,0,0,0,0,0,0,2.04337e-05,1.89388e-10,2.32385e-10,2.42398e-07,2.44306e-10,2.00082e-05,0.057,0.142,-0.697,0,0,0.005,-0.000522197,0.066998,-9.63119e-07,0,0,0,0.067,0,0,0,0,0,0,0,0,0,0,0,0,-3.26373e-07,4.18737e-05,0,0,0,0,100,100,100,100,100,100,100,100
1781013494890875,0.00778417,-0.354092,1.81973,-1.74533e-05,0.968047,0,0,0,0,0,0,0,5.44305e-05,5.01689e-10,6.22147e-10,6.45822e-07,6.54197e-10,5.32969e-05,0.039,0.081,-0.376,0,0,0.002,-0.000576755,0.0739978,-1.06374e-06,0,0,0,0.074,0,0,0,0,0,0,0,0,0,0,0,0,-6.66447e-07,8.55052e-05,0,0,0,0,100,100,100,100,100,100,100,100
1781013494895859,0.00778417,-0.35411,1.81973,-1.74533e-05,0.968047,0,0,0,0,0,0,0,4.35444e-05,4.01351e-10,4.97718e-10,5.16658e-07,5.23357e-10,4.26376e-05,-0.01,-0.017,-0.042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781013494901002,0.00778417,-0.35411,1.81973,-1.74533e-05,0.968047,0,0,0,0,0,0,0,3.48355e-05,3.21081e-10,3.98174e-10,4.13326e-07,4.18686e-10,3.411e-05,0.024,0,-0.275,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781013494906004,0.00778417,-0.35411,1.81973,-1.74533e-05,0.968047,0,0,0,0,0,0,0,2.78684e-05,2.56865e-10,3.18539e-10,3.30661e-07,3.34949e-10,2.7288e-05,0.066,0.034,-0.17,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781013494911034,0.00778417,-0.35411,1.81973,-1.74533e-05,0.968047,0,0,0,0,0,0,0,2.22947e-05,2.05492e-10,2.54832e-10,2.64529e-07,2.67959e-10,2.18304e-05,0.023,0.031,-0.045,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781013494916079,0.00778417,-0.35411,1.81973,-1.74533e-05,0.968047,0,0,0,0,0,0,0,1.78358e-05,1.64393e-10,2.03865e-10,2.11623e-07,2.14367e-10,1.74643e-05,0.025,0.063,-0.337,0.001,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781013494921248,0.00778417,-0.35411,1.81973,-1.74533e-05,0.968047,0,0,0,0,0,0,0,2.81868e-05,2.6828e-10,3.15177e-10,3.34735e-07,3.44777e-10,2.75996e-05,0.072,0.1,-0.469,0,0,0.003,-0.000389699,0.0499985,-7.18737e-07,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,-2.43562e-07,3.1249e-05,0,0,0,0,100,100,100,100,100,100,100,100
