Time_us,Q1,Q2,Q3,Q4,Q5,Q6,Qdot_a1,Qdot_a2,Qdot_a3,Qdot_a4,Qdot_a5,Qdot_a6,Qdot1,Qdot2,Qdot3,Qdot4,Qdot5,Qdot6,X,Y,Z,Rx,Ry,Rz,FT1,FT2,FT3,FT4,FT5,FT6,F_cmd1,F_cmd2,F_cmd3,F_cmd4,F_cmd5,F_cmd6,v_meas1,v_meas2,v_meas3,v_meas4,v_meas5,v_meas6,vel1,vel2,vel3,vel4,vel5,vel6,rf1,rf2,rf3,F_exp1,F_exp2,F_exp3,beta,Ci11,Ci12,Ci13,Ci21,Ci22,Ci23,Ci31,Ci32,Ci33,Mi_inv11,Mi_inv12,Mi_inv13,Mi_inv21,Mi_inv22,Mi_inv23,Mi_inv31,Mi_inv32,Mi_inv33
1781298894903366,0.00776672,-0.353866,1.82015,0,0.968029,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372335,0.00289188,0.120288,-3.13383,-0.000453863,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.564808,-72.718,-0.00013744,0.00416465,3.23462e-05,0.00053425,1.0021,20.0007,-0.000320822,-0.00529915,-0.000320822,20.042,-4.11593e-05,-0.00529915,-4.11575e-05,20.0413,0.0999966,1.60077e-06,2.64379e-05,1.60071e-06,0.0997905,2.05336e-07,2.64369e-05,2.05329e-07,0.0997939
1781298894908490,0.00776672,-0.353866,1.82015,0,0.968029,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372335,0.00289188,0.120288,-3.13383,-0.000453863,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.451836,-58.1758,6.74946e-05,0.00333283,2.58856e-05,0.000418236,1.00168,20.0005,-0.000256836,-0.00414949,-0.000256822,20.0336,-3.22285e-05,-0.00414973,-3.22304e-05,20.0331,0.0999974,1.28197e-06,2.07126e-05,1.28202e-06,0.0998323,1.60879e-07,2.07126e-05,1.60879e-07,0.0998349
1781298894913489,0.00776672,-0.353866,1.82015,0,0.968029,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372335,0.00289188,0.120288,-3.13383,-0.000453863,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.361496,-46.5424,5.39957e-05,0.00266683,2.07129e-05,0.000329897,1.00134,20.0004,-0.000205562,-0.00327379,-0.000205547,20.0269,-2.54281e-05,-0.00327379,-2.54262e-05,20.0265,0.099998,1.02649e-06,1.63484e-05,1.02643e-06,0.0998658,1.26971e-07,1.63484e-05,1.26979e-07,0.0998678
1781298894918617,0.00776672,-0.353866,1.82015,0,0.968029,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.372335,0.00289188,0.120288,-3.13384,-0.000453863,-3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289197,-37.2339,4.31965e-05,0.00213375,1.65726e-05,0.000261515,1.00107,20.0003,-0.000164479,-0.00259573,-0.000164479,20.0215,-2.01601e-05,-0.00259549,-2.01582e-05,20.0212,0.0999984,8.21659e-07,1.29649e-05,8.21601e-07,0.0998926,1.00701e-07,1.29649e-05,1.00694e-07,0.0998942
1781298894923563,0.00776672,-0.353866,1.82015,0,0.968029,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.372335,0.00289188,0.120288,-3.13384,-0.000453863,-3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231358,-29.7871,3.45572e-05,0.00170715,1.32592e-05,0.000207982,1.00086,20.0003,-0.000131622,-0.00206429,-0.000131637,20.0172,-1.60344e-05,-0.00206453,-1.60344e-05,20.0169,0.0999987,6.57397e-07,1.03134e-05,6.57397e-07,0.0999141,8.01021e-08,1.03125e-05,8.00948e-08,0.0999154
1781298894928740,0.00776672,-0.353866,1.82015,0,0.968029,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.372335,0.00289188,0.120288,-3.13384,-0.000453863,-3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185059,-23.8332,0.000460864,0.00136579,1.0608e-05,0.000165756,1.00069,20.0002,-0.000105321,-0.00164519,-0.000105307,20.0138,-1.27764e-05,-0.00164519,-1.27782e-05,20.0136,0.099999,5.26197e-07,8.22459e-06,5.26255e-07,0.0999313,6.38818e-08,8.22459e-06,6.38745e-08,0.0999322
1781298894933698,0.00776672,-0.353866,1.82013,0,0.968029,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.372343,0.00289194,0.120293,-3.13384,-0.000436481,-3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148047,-19.0665,0.000368691,0.00109267,8.48667e-06,0.000132282,1.00055,20.0002,-8.4281e-05,-0.00131355,-8.4281e-05,20.011,-1.02022e-05,-0.00131379,-1.02022e-05,20.0109,0.0999992,4.20841e-07,6.56125e-06,4.20841e-07,0.099945,5.09619e-08,6.56125e-06,5.09617e-08,0.0999458
1781298894938894,0.00776672,-0.353866,1.82013,0,0.968029,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.372343,0.00289194,0.120293,-3.13384,-0.000436481,-3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118438,-15.2478,-4.34988e-05,0.00087416,6.78948e-06,0.000105661,1.00044,20.0001,-6.7398e-05,-0.00104901,-6.74129e-05,20.0088,-8.14773e-06,-0.00104878,-8.14774e-06,20.0087,0.0999994,3.36731e-07,5.2411e-06,3.3679e-07,0.099956,4.07056e-08,5.24204e-06,4.07129e-08,0.0999566
1781298894943881,0.00776672,-0.353866,1.82013,0,0.968029,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.372343,0.00289194,0.120293,-3.13384,-0.000436481,-3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0947502,-12.1915,-0.000457864,0.000699338,5.43166e-06,8.44439e-05,1.00035,20.0001,-5.39571e-05,-0.000838643,-5.39571e-05,20.007,-6.5114e-06,-0.000838643,-6.51332e-06,20.0069,0.0999995,2.69501e-07,4.19061e-06,2.69501e-07,0.0999648,3.25497e-08,4.19061e-06,3.25424e-08,0.0999653
1781298894948999,0.00776672,-0.353866,1.82013,0,0.968029,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.372343,0.00289194,0.120293,-3.13384,-0.000436481,-3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075734,-9.74473,-0.000366291,0.000559476,4.34537e-06,6.75118e-05,1.00028,20.0001,-4.31389e-05,-0.000670085,-4.31538e-05,20.0056,-5.20574e-06,-0.000670323,-5.20574e-06,20.0056,0.0999996,2.15776e-07,3.35146e-06,2.15776e-07,0.0999718,2.60338e-08,3.35239e-06,2.60338e-08,0.0999722
