Time_us,Q1,Q2,Q3,Q4,Q5,Q6,Qdot_a1,Qdot_a2,Qdot_a3,Qdot_a4,Qdot_a5,Qdot_a6,Qdot1,Qdot2,Qdot3,Qdot4,Qdot5,Qdot6,X,Y,Z,Rx,Ry,Rz,FT1,FT2,FT3,FT4,FT5,FT6,F_cmd1,F_cmd2,F_cmd3,F_cmd4,F_cmd5,F_cmd6,v_meas1,v_meas2,v_meas3,v_meas4,v_meas5,v_meas6,vel1,vel2,vel3,vel4,vel5,vel6,rf1,rf2,rf3,F_exp1,F_exp2,F_exp3,beta,Ci11,Ci12,Ci13,Ci21,Ci22,Ci23,Ci31,Ci32,Ci33,Mi_inv11,Mi_inv12,Mi_inv13,Mi_inv21,Mi_inv22,Mi_inv23,Mi_inv31,Mi_inv32,Mi_inv33
1781299384426462,0.00774926,-0.35397,1.81998,0,0.967977,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372411,0.00288597,0.120293,-3.13384,-0.000331607,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299384431460,0.00774926,-0.35397,1.81998,0,0.967977,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372411,0.00288597,0.120293,-3.13384,-0.000331607,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299384436462,0.00774926,-0.35397,1.81998,0,0.967977,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372411,0.00288597,0.120293,-3.13384,-0.000331607,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299384441628,0.00774926,-0.35397,1.81998,0,0.967977,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372411,0.00288597,0.120293,-3.13384,-0.000331607,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299384446720,0.00774926,-0.35397,1.81998,0,0.967977,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372411,0.00288597,0.120293,-3.13384,-0.000331607,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299384451708,0.00774926,-0.35397,1.81998,0,0.967977,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372411,0.00288597,0.120293,-3.13384,-0.000331607,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299384456832,0.00774926,-0.35397,1.81998,0,0.967977,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372411,0.00288597,0.120293,-3.13384,-0.000331607,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299384461828,0.00774926,-0.35397,1.81998,0,0.967977,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372411,0.00288597,0.120293,-3.13384,-0.000331607,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299384466955,0.00774926,-0.35397,1.81998,0,0.967977,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372411,0.00288597,0.120293,-3.13384,-0.000331607,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299384471972,0.00774926,-0.35397,1.81998,0,0.967977,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372411,0.00288597,0.120293,-3.13384,-0.000331607,3.14159,-0.098,-0.025,0.151,0,0,-0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299384477127,0.00774926,-0.35397,1.81998,0,0.967977,0,0,0,0,0,0,0,1.14059e-11,-1.75821e-05,-2.44201e-05,-8.2526e-12,6.74087e-06,5.24576e-12,0.372411,0.00288597,0.120293,-3.13384,-0.000331607,3.14159,-0.179,-0.004,0.024,0,0,-0.002,0.0894973,0.000693552,-2.96788e-05,0,0,0,0,0,0,0,0,0,4.47487e-05,3.46776e-07,-1.48394e-08,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299384482209,0.00774926,-0.35397,1.81998,0,0.967977,0,0,0,0,0,0,0,2.89856e-11,-4.46832e-05,-6.20611e-05,-2.09736e-11,1.71312e-05,1.33168e-11,0.372411,0.00288597,0.120293,-3.13384,-0.000331607,3.14159,-0.045,0.018,-0.158,0,0,0,0.067248,0.000521133,-2.23006e-05,0,0,0,0,0,0,0,0,0,7.79252e-05,6.03875e-07,-2.58413e-08,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299384487208,0.00774926,-0.35397,1.81998,0,0.967977,0,0,0,0,0,0,0,4.27733e-11,-6.60578e-05,-9.17487e-05,-3.10125e-11,2.53261e-05,1.96859e-11,0.372411,0.00288597,0.120293,-3.13384,-0.000331607,3.14159,0.042,0.031,-0.136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.71459e-05,5.97836e-07,-2.55829e-08,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299384492209,0.00774926,-0.35397,1.81998,0,0.967977,0,0,0,0,0,0,0,5.36792e-11,-8.28545e-05,-0.000115078,-3.88945e-11,3.17658e-05,2.47234e-11,0.372411,0.00288597,0.120293,-3.13384,-0.000331607,3.14159,0.016,0.072,-0.165,-0.001,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,7.63744e-05,5.91857e-07,-2.5327e-08,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299384497327,0.00774926,-0.35397,1.81998,0,0.967977,0,0,0,0,0,0,0,6.21415e-11,-9.59917e-05,-0.000133324,-4.50586e-11,3.68025e-05,2.86518e-11,0.372411,0.00288597,0.120293,-3.13384,-0.000331607,3.14159,-0.034,0.07,-0.293,-0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,7.56107e-05,5.85939e-07,-2.50738e-08,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299384502453,0.00774926,-0.35397,1.81998,0,0.967977,0,0,0,0,0,0,0,6.88474e-11,-0.000106204,-0.000147509,-4.98492e-11,4.0718e-05,3.17219e-11,0.372411,0.00288597,0.120293,-3.13384,-0.000331607,3.14159,0.023,0.001,-0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48546e-05,5.80079e-07,-2.4823e-08,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299384507453,0.00774926,-0.35397,1.81998,0,0.967977,0,0,0,0,0,0,0,7.39188e-11,-0.00011408,-0.000158448,-5.35484e-11,4.37376e-05,3.40619e-11,0.372411,0.00288597,0.120293,-3.13384,-0.000331607,3.14159,0.036,0.003,0.07,0,-0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4106e-05,5.74279e-07,-2.45748e-08,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299384512501,0.00774926,-0.35397,1.81998,0,0.967977,0,0,0,0,0,0,0,7.78075e-11,-0.00012009,-0.000166795,-5.63707e-11,4.60417e-05,3.58748e-11,0.372411,0.00288597,0.120293,-3.13384,-0.000331607,3.14159,-0.011,0.004,-0.129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3365e-05,5.68536e-07,-2.43291e-08,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299384517543,0.00774926,-0.35397,1.81998,0,0.967977,0,0,0,0,0,0,0,8.08132e-11,-0.00012461,-0.000173072,-5.84901e-11,4.77744e-05,3.72484e-11,0.372411,0.00288597,0.120293,-3.13384,-0.000331607,3.14159,-0.042,0.024,-0.209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.26313e-05,5.62851e-07,-2.40858e-08,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
